ProcedureURN,ProcedureID,Active,Procedures,Description
918,DU012ZZ	,1,BEAM RADIATION OF CERVIX USING PHOTONS >10 MEV	,NULL
919,DU011ZZ	,1,BEAM RADIATION OF CERVIX USING PHOTONS 1 - 10 MEV	,NULL
926,DH062ZZ	,1,BEAM RADIATION OF CHEST SKIN USING PHOTONS >10 MEV	,NULL
934,DW022ZZ	,1,BEAM RADIATION OF CHEST USING PHOTONS >10 MEV	,NULL
935,DW021ZZ	,1,BEAM RADIATION OF CHEST USING PHOTONS 1 - 10 MEV	,NULL
942,DB072ZZ	,1,BEAM RADIATION OF CHEST WALL USING PHOTONS >10 MEV	,NULL
982,DD002ZZ	,1,BEAM RADIATION OF ESOPHAGUS USING PHOTONS >10 MEV	,NULL
983,DD001ZZ	,1,BEAM RADIATION OF ESOPHAGUS USING PHOTONS 1 - 10 MEV	,
998,DH022ZZ	,1,BEAM RADIATION OF FACE SKIN USING PHOTONS >10 MEV	,NULL
999,DH021ZZ	,1,BEAM RADIATION OF FACE SKIN USING PHOTONS 1 - 10 MEV	,NULL
1006,DP092ZZ	,1,BEAM RADIATION OF FEMUR USING PHOTONS >10 MEV	,NULL
1007,DP091ZZ	,1,BEAM RADIATION OF FEMUR USING PHOTONS 1 - 10 MEV	,NULL
1030,DW012ZZ	,1,BEAM RADIATION OF HEAD AND NECK USING PHOTONS >10 MEV	,NULL
1031,DW011ZZ	,1,BEAM RADIATION OF HEAD AND NECK USING PHOTONS 1 - 10 MEV	,NULL
1038,DW042ZZ	,1,BEAM RADIATION OF HEMIBODY USING PHOTONS >10 MEV	,NULL
1040,DP063ZZ	,1,BEAM RADIATION OF HUMERUS USING ELECTRONS	,NULL
1046,DP062ZZ	,1,BEAM RADIATION OF HUMERUS USING PHOTONS >10 MEV	,NULL
1047,DP061ZZ	,1,BEAM RADIATION OF HUMERUS USING PHOTONS 1 - 10 MEV	,NULL
1080,DT003ZZ	,1,BEAM RADIATION OF KIDNEY USING ELECTRONS	,NULL
1081,DT003Z0	,1,BEAM RADIATION OF KIDNEY USING ELECTRONS; INTRAOPERATIVE	,NULL
1082,DT004ZZ	,1,BEAM RADIATION OF KIDNEY USING HEAVY PARTICLES (PROTONS;IONS)	,NULL
1083,DT006ZZ	,1,BEAM RADIATION OF KIDNEY USING NEUTRON CAPTURE	,NULL
1084,DT005ZZ	,1,BEAM RADIATION OF KIDNEY USING NEUTRONS	,NULL
1085,DT000ZZ	,1,BEAM RADIATION OF KIDNEY USING PHOTONS <1 MEV	,NULL
1086,DT002ZZ	,1,BEAM RADIATION OF KIDNEY USING PHOTONS >10 MEV	,NULL
1087,DT001ZZ	,1,BEAM RADIATION OF KIDNEY USING PHOTONS 1 - 10 MEV	,NULL
1095,D90B1ZZ	,1,BEAM RADIATION OF LARYNX USING PHOTONS 1 - 10 MEV	,NULL
1096,DM003ZZ	,1,BEAM RADIATION OF LEFT BREAST USING ELECTRONS	,NULL
1102,DM002ZZ	,1,BEAM RADIATION OF LEFT BREAST USING PHOTONS >10 MEV	,NULL
1103,DM001ZZ	,1,BEAM RADIATION OF LEFT BREAST USING PHOTONS 1 - 10 MEV	,NULL
1126,DB022ZZ	,1,BEAM RADIATION OF LUNG USING PHOTONS >10 MEV	,NULL
1158,D9042ZZ	,1,BEAM RADIATION OF MOUTH USING PHOTONS >10 MEV	,NULL
1159,D9041ZZ	,1,BEAM RADIATION OF MOUTH USING PHOTONS 1 - 10 MEV	,NULL
1182,DH032ZZ	,1,BEAM RADIATION OF NECK SKIN USING PHOTONS >10 MEV	,NULL
1190,D9012ZZ	,1,BEAM RADIATION OF NOSE USING PHOTONS >10 MEV	,NULL
1205,DP0C0ZZ	,1,BEAM RADIATION OF OTHER BONE USING PHOTONS <1 MEV	,NULL
1206,DP0C2ZZ	,1,BEAM RADIATION OF OTHER BONE USING PHOTONS >10 MEV	,NULL
1207,DP0C1ZZ	,1,BEAM RADIATION OF OTHER BONE USING PHOTONS 1 - 10 MEV	,NULL
1214,DU002ZZ	,1,BEAM RADIATION OF OVARY USING PHOTONS &GT;10 MEV	,
1231,DP083ZZ	,1,BEAM RADIATION OF PELVIC BONES USING ELECTRONS	,NULL
1237,DP082ZZ	,1,BEAM RADIATION OF PELVIC BONES USING PHOTONS >10 MEV	,NULL
1238,DP081ZZ	,1,BEAM RADIATION OF PELVIC BONES USING PHOTONS 1 - 10 MEV	,NULL
1245,DW062ZZ	,1,BEAM RADIATION OF PELVIC REGION USING PHOTONS >10 MEV	,NULL
1246,DW061ZZ	,1,BEAM RADIATION OF PELVIC REGION USING PHOTONS 1 - 10 MEV	,NULL
1261,D0072ZZ	,1,BEAM RADIATION OF PERIPHERAL NERVE USING PHOTONS >10 MEV	,NULL
1292,DV002ZZ	,1,BEAM RADIATION OF PROSTATE USING PHOTONS >10 MEV	,NULL
1293,DV001ZZ	,1,BEAM RADIATION OF PROSTATE USING PHOTONS 1 - 10 MEV	,NULL
